Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
Darshan,Top,Counter Logic Gaming,,637.59,17.71,46,164,101,261,"12,171",6,6 / 0 / 0
,,CLG vs. C9,Win (2-1),26.45,13.23,3,8,6,16,922,0,0 / 0 / 0
,,CLG vs. TL,Win (2-0),43.66,21.83,2,8,2,16,466,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-1),54.92,27.46,3,16,5,22,814,1,0 / 0 / 0
,,CLG vs. TSM,Loss (1-2),29.26,14.63,3,10,11,13,760,0,0 / 0 / 0
,,CLG vs. FLY,Win (2-1),52.13,26.07,3,25,9,18,957,2,2 / 0 / 0
,,CLG vs. P1,Win (2-1),32.53,16.27,3,11,15,20,938,0,0 / 0 / 0
,,CLG vs. IMT,Loss (0-2),7.86,3.93,2,1,4,2,486,0,0 / 0 / 0
,,CLG vs. NV,Win (2-1),26.68,13.34,3,7,1,16,843,0,0 / 0 / 0
,,CLG vs. C9,Win (2-1),28.51,14.26,3,9,3,14,676,0,0 / 0 / 0
,,CLG vs. TL,Win (2-0),53.09,26.55,2,12,2,15,559,0,1 / 0 / 0
,,CLG vs. FLY,Win (2-0),49.31,24.66,2,6,3,20,681,1,0 / 0 / 0
,,CLG vs. DIG,Loss (0-2),19.06,9.53,2,4,4,5,556,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-0),40.43,20.22,2,4,1,18,393,1,0 / 0 / 0
,,CLG vs. IMT,Loss (1-2),44.39,22.2,3,13,11,19,685,0,2 / 0 / 0
,,CLG vs. NV,Win (2-0),41.5,20.75,2,9,2,12,450,0,1 / 0 / 0
,,CLG vs. P1,Loss (1-2),27.14,13.57,3,8,10,7,669,0,0 / 0 / 0
,,CLG vs. DIG,Win (2-1),26.33,13.17,3,8,5,15,682,0,0 / 0 / 0
,,CLG vs. TSM,Loss (0-2),34.34,17.17,2,5,7,13,634,1,0 / 0 / 0
Fallenbandit,Top,Counter Logic Gaming,,0,0,0,0,0,0,0,0,0 / 0 / 0
Fill,Support,Counter Logic Gaming,,0,0,0,0,0,0,0,0,0 / 0 / 0
HotshotGG,Top,Counter Logic Gaming,,0,0,0,0,0,0,0,0,0 / 0 / 0
Huhi,Mid,Counter Logic Gaming,,710.14,19.73,46,209,105,281,"14,195",11,3 / 0 / 0
,,CLG vs. C9,Win (2-1),36.25,18.13,3,16,7,20,"1,088",1,0 / 0 / 0
,,CLG vs. TL,Win (2-0),35.83,17.92,2,8,4,11,533,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-1),42.46,21.23,3,13,9,26,919,1,0 / 0 / 0
,,CLG vs. TSM,Loss (1-2),18.86,9.43,3,10,11,12,910,0,0 / 0 / 0
,,CLG vs. FLY,Win (2-1),49.99,25,3,15,7,31,"1,050",2,0 / 0 / 0
,,CLG vs. P1,Win (2-1),42.13,21.07,3,14,14,20,960,1,0 / 0 / 0
,,CLG vs. IMT,Loss (0-2),25.92,12.96,2,9,4,3,542,0,0 / 0 / 0
,,CLG vs. NV,Win (2-1),27.24,13.62,3,13,7,13,895,0,1 / 0 / 0
,,CLG vs. C9,Win (2-1),34.51,17.26,3,12,5,15,857,0,1 / 0 / 0
,,CLG vs. TL,Win (2-0),51.76,25.88,2,6,0,21,626,1,0 / 0 / 0
,,CLG vs. FLY,Win (2-0),61.66,30.83,2,11,0,19,716,1,1 / 0 / 0
,,CLG vs. DIG,Loss (0-2),22.14,11.07,2,6,7,5,614,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-0),43.37,21.69,2,12,0,9,587,0,0 / 0 / 0
