Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
,,H2K vs. ROC,Win (2-0),91,45.5,2,11,1,13,450,0,0 / 0 / 0
,,H2K vs. G2,Loss (1-2),96.74,48.37,3,11,5,15,"1,007",1,0 / 0 / 0
,,H2K vs. SPY,Win (2-0),103.12,51.56,2,11,3,14,606,1,1 / 0 / 0
,,H2K vs. VIT,Win (2-0),74.24,37.12,2,7,1,11,512,0,1 / 0 / 0
IceBeasto,Top,H2K,,0,0,0,0,0,0,0,0,0 / 0 / 0
Jankos,Jungler,H2K,,670.53,30.48,24,57,44,187,"3,477",9,0 / 0 / 0
,,H2K vs. SPY,Win (2-0),44.6,22.3,2,7,5,18,410,1,0 / 0 / 0
,,H2K vs. MM,Win (2-0),27.98,13.99,2,5,3,11,298,0,0 / 0 / 0
,,H2K vs. UOL,Loss (1-2),74.62,37.31,3,6,6,25,418,2,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),82.86,41.43,2,9,4,14,243,1,0 / 0 / 0
,,H2K vs. FNC,Loss (0-2),5.73,2.87,2,0,6,4,273,0,0 / 0 / 0
,,H2K vs. NIP,Win (2-0),58.64,29.32,2,4,3,30,314,2,0 / 0 / 0
,,H2K vs. MSF,Win (2-0),62.68,31.34,2,5,7,14,384,0,0 / 0 / 0
,,H2K vs. ROC,Win (2-0),69.24,34.62,2,7,2,13,212,0,0 / 0 / 0
,,H2K vs. G2,Loss (1-2),94.78,47.39,3,8,7,22,405,1,0 / 0 / 0
,,H2K vs. SPY,Win (2-0),86,43,2,4,0,20,300,1,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),63.4,31.7,2,2,1,16,220,1,0 / 0 / 0
Nuclear,AD Carry,H2K,,731.04,33.23,24,99,44,143,"6,918",3,3/1/0000
,,H2K vs. SPY,Win (2-0),47.17,23.59,2,8,2,16,617,0,1 / 0 / 0
,,H2K vs. MM,Win (2-0),45.89,22.95,2,11,1,11,589,0,1 / 0 / 0
,,H2K vs. UOL,Loss (1-2),59.7,29.85,3,14,10,15,769,0,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),101.12,50.56,2,9,4,18,556,0,1 / 0 / 0
,,H2K vs. FNC,Loss (0-2),3.86,1.93,2,0,6,1,536,0,0 / 0 / 0
,,H2K vs. NIP,Win (2-0),66.44,33.22,2,20,6,11,594,1,0 / 1 / 0
,,H2K vs. MSF,Win (2-0),81.28,40.64,2,7,5,14,814,0,0 / 0 / 0
,,H2K vs. ROC,Win (2-0),66.1,33.05,2,7,0,10,405,0,0 / 0 / 0
,,H2K vs. G2,Loss (1-2),88.3,44.15,3,6,5,20,879,1,0 / 0 / 0
,,H2K vs. SPY,Win (2-0),98.38,49.19,2,8,4,18,619,1,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),72.8,36.4,2,9,1,9,540,0,0 / 0 / 0
Odoamne,Top,H2K,,700.23,31.83,24,77,49,145,"6,150",6,1/1/0000
,,H2K vs. SPY,Win (2-0),34.4,17.2,2,9,4,9,490,0,0 / 0 / 0
,,H2K vs. MM,Win (2-0),41.16,20.58,2,3,3,20,466,1,0 / 0 / 0
,,H2K vs. UOL,Loss (1-2),83.9,41.95,3,12,13,22,744,1,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),95.52,47.76,2,8,2,17,526,1,0 / 0 / 0
,,H2K vs. FNC,Loss (0-2),10.12,5.06,2,2,6,3,462,0,0 / 0 / 0
,,H2K vs. NIP,Win (2-0),23.25,11.63,2,6,3,5,525,0,0 / 0 / 0
,,H2K vs. MSF,Win (2-0),110.26,55.13,2,14,3,10,663,1,0 / 1 / 0
,,H2K vs. ROC,Win (2-0),76.38,38.19,2,6,2,14,419,0,1 / 0 / 0
,,H2K vs. G2,Loss (1-2),65.78,32.89,3,4,9,16,832,1,0 / 0 / 0
,,H2K vs. SPY,Win (2-0),99.22,49.61,2,8,2,18,561,1,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),60.24,30.12,2,5,2,11,462,0,0 / 0 / 0
ProxyFox,Mid,H2K,,0,0,0,0,0,0,0,0,0 / 0 / 0
AnDa,Jungler,Immortals,,0,0,0,0,0,0,0,0,0 / 0 / 0
Cody Sun,AD Carry,Immortals,,711.7,19.77,45,182,85,269,"13,968",6,6/2/0000
,,IMT vs. P1,Win (2-1),36.17,18.09,3,9,5,19,"1,108",1,0 / 0 / 0
,,IMT vs. TSM,Win (2-0),41.21,20.61,2,8,4,14,621,0,0 / 0 / 0
,,IMT vs. NV,Loss (0-2),13.6,6.8,2,1,6,6,560,0,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),46.08,23.04,3,17,9,20,"1,046",1,0 / 1 / 0
,,IMT vs. TL,Win (2-0),28.77,14.39,2,8,3,6,527,0,0 / 0 / 0
,,IMT vs. C9,Win (2-1),40.23,20.12,3,15,7,16,"1,137",0,1 / 0 / 0
,,IMT vs. CLG,Win (2-0),47.62,23.81,2,9,1,15,562,0,1 / 0 / 0
,,IMT vs. DIG,Win (2-1),46.77,23.39,3,14,5,21,726,1,0 / 0 / 0
,,IMT vs. TSM,Loss (0-2),37.41,18.71,2,10,6,9,691,0,0 / 0 / 0
,,IMT vs. P1,Loss (1-2),35.48,17.74,3,8,3,16,864,0,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),46.3,23.15,2,9,2,15,680,0,0 / 0 / 0
,,IMT vs. C9,Win (2-1),43.22,21.61,3,10,11,21,967,1,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),33.14,16.57,3,10,4,12,927,0,1 / 0 / 0
,,IMT vs. CLG,Win (2-1),51.82,25.91,3,23,8,24,905,1,3 / 0 / 0
,,IMT vs. TL,Win (2-0),32.16,16.08,2,4,4,13,666,0,0 / 0 / 0
,,IMT vs. DIG,Loss (1-2),27.41,13.71,3,3,3,14,"1,050",0,0 / 0 / 0
,,IMT vs. NV,Win (2-0),50.25,25.13,2,11,1,15,425,1,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),54.06,27.03,2,13,3,13,506,0,0 / 1 / 0
Flame,Top,Immortals,,597.75,16.6,45,127,96,262,"12,952",9,2 / 0 / 0
,,IMT vs. P1,Win (2-1),25.49,12.75,3,7,3,11,965,0,0 / 0 / 0
,,IMT vs. TSM,Win (2-0),55.98,27.99,2,12,1,15,598,1,1 / 0 / 0
,,IMT vs. NV,Loss (0-2),12.92,6.46,2,1,5,5,592,0,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),29.35,14.68,3,9,7,12,981,0,0 / 0 / 0
,,IMT vs. TL,Win (2-0),29.27,14.64,2,7,1,7,527,0,0 / 0 / 0
,,IMT vs. C9,Win (2-1),35.41,17.71,3,10,10,21,"1,070",1,1 / 0 / 0
,,IMT vs. CLG,Win (2-0),36.93,18.47,2,6,3,14,543,0,0 / 0 / 0
,,IMT vs. DIG,Win (2-1),36.4,18.2,3,14,2,16,653,0,0 / 0 / 0
,,IMT vs. TSM,Loss (0-2),33.64,16.82,2,6,5,12,614,0,0 / 0 / 0
,,IMT vs. P1,Loss (1-2),27.34,13.67,3,4,9,15,797,1,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),49.48,24.74,2,7,5,20,598,1,0 / 0 / 0
,,IMT vs. C9,Win (2-1),21.07,10.54,3,4,11,18,991,0,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),26.85,13.43,3,8,6,19,857,1,0 / 0 / 0
,,IMT vs. CLG,Win (2-1),39.73,19.87,3,12,13,20,844,1,0 / 0 / 0
,,IMT vs. TL,Win (2-0),35.72,17.86,2,4,3,14,622,1,0 / 0 / 0
,,IMT vs. DIG,Loss (1-2),20.1,10.05,3,4,9,12,793,0,0 / 0 / 0
,,IMT vs. NV,Win (2-0),50.75,25.38,2,6,2,21,425,2,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),31.32,15.66,2,6,1,10,482,0,0 / 0 / 0
Olleh,Support,Immortals,,534.39,14.84,45,57,123,386,"1,707",20,0 / 0 / 0
,,IMT vs. P1,Win (2-1),20.29,10.15,3,3,7,22,117,1,0 / 0 / 0
,,IMT vs. TSM,Win (2-0),43.33,21.67,2,3,1,22,83,2,0 / 0 / 0
,,IMT vs. NV,Loss (0-2),10.33,5.17,2,2,10,7,83,0,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),31.92,15.96,3,5,8,32,127,2,0 / 0 / 0
,,IMT vs. TL,Win (2-0),24.7,12.35,2,0,4,16,70,1,0 / 0 / 0
,,IMT vs. C9,Win (2-1),28.49,14.25,3,5,12,22,154,1,0 / 0 / 0
,,IMT vs. CLG,Win (2-0),28.27,14.14,2,2,4,17,77,0,0 / 0 / 0
,,IMT vs. DIG,Win (2-1),32.36,16.18,3,7,5,24,51,1,0 / 0 / 0
,,IMT vs. TSM,Loss (0-2),23.65,11.83,2,4,7,12,115,0,0 / 0 / 0
,,IMT vs. P1,Loss (1-2),28.27,14.14,3,4,6,19,95,1,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),34.26,17.13,2,0,9,24,76,1,0 / 0 / 0
,,IMT vs. C9,Win (2-1),37.02,18.51,3,2,13,37,164,2,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),30.33,15.17,3,10,5,20,117,1,0 / 0 / 0
,,IMT vs. CLG,Win (2-1),26.27,13.14,3,0,13,32,114,2,0 / 0 / 0
,,IMT vs. TL,Win (2-0),36.17,18.09,2,1,4,21,67,2,0 / 0 / 0
,,IMT vs. DIG,Loss (1-2),23.02,11.51,3,4,6,17,76,0,0 / 0 / 0
,,IMT vs. NV,Win (2-0),46.09,23.05,2,2,3,26,59,2,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),29.62,14.81,2,3,6,16,62,1,0 / 0 / 0
Pobelter,Mid,Immortals,,698.39,19.4,45,187,90,268,"13,622",7,5/1/0000
,,IMT vs. P1,Win (2-1),35.36,17.68,3,18,3,11,"1,041",0,0 / 0 / 0
,,IMT vs. TSM,Win (2-0),42.45,21.23,2,8,2,14,645,0,0 / 0 / 0
,,IMT vs. NV,Loss (0-2),13.96,6.98,2,3,8,4,596,0,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),26.9,13.45,3,10,7,16,922,0,0 / 0 / 0
,,IMT vs. TL,Win (2-0),35.71,17.86,2,7,1,11,571,0,0 / 0 / 0
,,IMT vs. C9,Win (2-1),30.97,15.49,3,12,6,14,"1,010",0,0 / 0 / 0
,,IMT vs. CLG,Win (2-0),42.82,21.41,2,5,3,18,532,1,0 / 0 / 0
,,IMT vs. DIG,Win (2-1),32.97,16.49,3,3,4,23,652,1,0 / 0 / 0
,,IMT vs. TSM,Loss (0-2),23.42,11.71,2,1,8,13,592,0,0 / 0 / 0
,,IMT vs. P1,Loss (1-2),23.51,11.76,3,8,10,12,887,0,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),59.57,29.79,2,16,4,14,657,1,0 / 0 / 0
,,IMT vs. C9,Win (2-1),45.84,22.92,3,19,5,16,"1,089",1,2 / 0 / 0
,,IMT vs. FLY,Win (2-1),41.49,20.75,3,14,3,16,959,0,1 / 0 / 0
,,IMT vs. CLG,Win (2-1),56.33,28.17,3,15,11,34,869,2,1 / 0 / 0
,,IMT vs. TL,Win (2-0),39.94,19.97,2,13,2,4,694,0,1 / 0 / 0
,,IMT vs. DIG,Loss (1-2),39.12,19.56,3,13,6,14,953,0,0 / 0 / 0
,,IMT vs. NV,Win (2-0),57.97,28.99,2,14,2,14,497,0,0 / 1 / 0
,,IMT vs. FOX,Win (2-0),50.06,25.03,2,8,5,20,456,1,0 / 0 / 0
Stunt,Support,Immortals,,0,0,0,0,0,0,0,0,0 / 0 / 0
Xmithie,Jungler,Immortals,,585.31,16.26,45,104,129,334,"6,286",16,0 / 0 / 0
,,IMT vs. P1,Win (2-1),30.87,15.44,3,4,8,23,459,1,0 / 0 / 0
,,IMT vs. TSM,Win (2-0),38.68,19.34,2,4,5,19,268,1,0 / 0 / 0
,,IMT vs. NV,Loss (0-2),19.28,9.64,2,7,9,5,228,0,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),29.52,14.76,3,5,12,27,439,2,0 / 0 / 0
,,IMT vs. TL,Win (2-0),23.45,11.73,2,4,1,9,245,0,0 / 0 / 0
,,IMT vs. C9,Win (2-1),27.97,13.99,3,3,12,25,439,1,0 / 0 / 0
,,IMT vs. CLG,Win (2-0),31.87,15.94,2,7,6,12,287,0,0 / 0 / 0
,,IMT vs. DIG,Win (2-1),38.57,19.29,3,10,6,23,362,1,0 / 0 / 0
,,IMT vs. TSM,Loss (0-2),29.45,14.73,2,4,8,15,295,0,0 / 0 / 0
,,IMT vs. P1,Loss (1-2),27.81,13.91,3,8,13,13,406,1,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),43.61,21.81,2,6,5,19,361,1,0 / 0 / 0
,,IMT vs. C9,Win (2-1),32.49,16.25,3,10,9,24,483,2,0 / 0 / 0
,,IMT vs. FLY,Win (2-1),32.34,16.17,3,5,7,25,421,2,0 / 0 / 0
,,IMT vs. CLG,Win (2-1),44.89,22.45,3,8,10,30,444,2,0 / 0 / 0
,,IMT vs. TL,Win (2-0),31.04,15.52,2,3,4,16,304,0,0 / 0 / 0
,,IMT vs. DIG,Loss (1-2),26.18,13.09,3,4,9,16,416,1,0 / 0 / 0
,,IMT vs. NV,Win (2-0),44.61,22.31,2,7,1,18,211,1,0 / 0 / 0
,,IMT vs. FOX,Win (2-0),32.68,16.34,2,5,4,15,218,0,0 / 0 / 0
Alphari,Top,Misfits,,504.09,21,30,60,74,191,"8,661",5,0 / 0 / 0
,,MSF vs. FNC,Loss (0-2),11.9,5.95,2,0,7,3,495,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-0),46.34,23.17,2,9,5,16,684,0,0 / 0 / 0
,,MSF vs. ROC,Win (2-1),34.41,17.21,3,4,5,24,718,1,0 / 0 / 0
,,MSF vs. G2,Win (2-1),49.98,24.99,3,10,5,14,938,0,0 / 0 / 0
,,MSF vs. VIT,Win (2-1),69.36,34.68,3,6,7,24,"1,093",0,0 / 0 / 0
,,MSF vs. H2K,Loss (0-2),52.96,26.48,2,2,7,13,648,0,0 / 0 / 0
,,MSF vs. UOL,Loss (1-2),84.24,42.12,3,12,7,25,886,1,0 / 0 / 0
,,MSF vs. MM,Win (2-0),54.52,27.26,2,6,5,24,502,2,0 / 0 / 0
,,MSF vs. SPY,Loss (1-2),41.9,20.95,3,4,10,22,819,1,0 / 0 / 0
,,MSF vs. FNC,Loss (0-2),18.4,9.2,2,1,7,4,470,0,0 / 0 / 0
,,MSF vs. G2,Loss (0-2),23.04,11.52,2,3,5,9,604,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-1),17.04,8.52,3,3,4,13,804,0,0 / 0 / 0
H1Iva,Support,Misfits,,0,0,0,0,0,0,0,0,0 / 0 / 0
Hans sama,AD Carry,Misfits,,627.78,26.16,30,114,62,166,"9,664",7,4/1/0000
,,MSF vs. FNC,Loss (0-2),25.1,12.55,2,3,8,3,605,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-0),47.51,23.76,2,11,2,12,651,0,1 / 0 / 0
,,MSF vs. ROC,Win (2-1),36.73,18.37,3,12,2,18,825,1,0 / 0 / 0
,,MSF vs. G2,Win (2-1),50.4,25.2,3,6,3,21,901,2,0 / 0 / 0
,,MSF vs. VIT,Win (2-1),122.34,61.17,3,13,2,28,"1,169",1,1 / 0 / 0
,,MSF vs. H2K,Loss (0-2),70.08,35.04,2,9,5,7,904,0,0 / 0 / 0
,,MSF vs. UOL,Loss (1-2),89.7,44.85,3,13,9,21,972,1,0 / 0 / 0
,,MSF vs. MM,Win (2-0),68.06,34.03,2,14,4,23,556,1,0 / 0 / 0
,,MSF vs. SPY,Loss (1-2),46.81,23.41,3,12,10,15,"1,018",1,1 / 0 / 0
,,MSF vs. FNC,Loss (0-2),21.68,10.84,2,1,5,4,534,0,0 / 0 / 0
,,MSF vs. G2,Loss (0-2),21.93,10.97,2,5,7,6,643,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-1),27.44,13.72,3,15,5,8,886,0,1/1/0000
IgNar,Support,Misfits,,483.96,20.17,30,13,69,267,"1,197",16,0 / 0 / 0
,,MSF vs. FNC,Loss (0-2),16.08,8.04,2,1,10,7,54,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-0),40.68,20.34,2,1,2,23,118,2,0 / 0 / 0
,,MSF vs. ROC,Win (2-1),25.57,12.79,3,0,8,30,99,2,0 / 0 / 0
,,MSF vs. G2,Win (2-1),43.38,21.69,3,1,4,23,112,2,0 / 0 / 0
,,MSF vs. VIT,Win (2-1),88.42,44.21,3,2,9,39,173,3,0 / 0 / 0
,,MSF vs. H2K,Loss (0-2),62.58,31.29,2,3,6,17,79,1,0 / 0 / 0
,,MSF vs. UOL,Loss (1-2),77.58,38.79,3,1,10,36,119,2,0 / 0 / 0
,,MSF vs. MM,Win (2-0),61.67,30.84,2,3,3,35,67,2,0 / 0 / 0
,,MSF vs. SPY,Loss (1-2),36.15,18.08,3,0,6,28,116,1,0 / 0 / 0
,,MSF vs. FNC,Loss (0-2),12.1,6.05,2,0,2,4,105,0,0 / 0 / 0
,,MSF vs. G2,Loss (0-2),12.16,6.08,2,0,4,9,66,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-1),7.59,3.8,3,1,5,16,89,1,0 / 0 / 0
Maxlore,Jungler,Misfits,,521.9,21.75,30,64,71,208,"4,445",10,1 / 0 / 0
,,MSF vs. FNC,Loss (0-2),20.4,10.2,2,1,6,6,220,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-0),38.09,19.05,2,2,5,21,309,1,0 / 0 / 0
,,MSF vs. ROC,Win (2-1),30.55,15.28,3,7,4,23,371,2,0 / 0 / 0
,,MSF vs. G2,Win (2-1),48.46,24.23,3,8,6,18,438,1,1 / 0 / 0
,,MSF vs. VIT,Win (2-1),73.54,36.77,3,5,9,31,543,2,0 / 0 / 0
,,MSF vs. H2K,Loss (0-2),65.58,32.79,2,8,9,12,329,0,0 / 0 / 0
,,MSF vs. UOL,Loss (1-2),80.92,40.46,3,7,8,26,488,1,0 / 0 / 0
,,MSF vs. MM,Win (2-0),58.17,29.09,2,6,2,27,267,2,0 / 0 / 0
,,MSF vs. SPY,Loss (1-2),34.43,17.22,3,4,10,20,423,1,0 / 0 / 0
,,MSF vs. FNC,Loss (0-2),30.6,15.3,2,4,3,4,280,0,0 / 0 / 0
,,MSF vs. G2,Loss (0-2),18.45,9.23,2,5,6,6,245,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-1),22.71,11.36,3,7,3,14,532,0,0 / 0 / 0
Paragon,AD Carry,Misfits,,0,0,0,0,0,0,0,0,0 / 0 / 0
PowerOfEvil,Mid,Misfits,,717.97,29.92,30,149,70,153,"9,265",6,3/2/0000
,,MSF vs. FNC,Loss (0-2),33.54,16.77,2,4,6,4,577,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-0),56.32,28.16,2,12,2,16,732,1,0 / 0 / 0
,,MSF vs. ROC,Win (2-1),47.42,23.71,3,22,7,11,748,1,1 / 0 / 0
,,MSF vs. G2,Win (2-1),72.24,36.12,3,10,5,17,894,0,0 / 1 / 0
,,MSF vs. VIT,Win (2-1),144.42,72.21,3,30,11,17,"1,159",2,0 / 1 / 0
,,MSF vs. H2K,Loss (0-2),56.86,28.43,2,6,6,8,743,0,0 / 0 / 0
,,MSF vs. UOL,Loss (1-2),114.96,57.48,3,23,8,15,969,1,0 / 0 / 0
,,MSF vs. MM,Win (2-0),75.21,37.61,2,18,4,21,571,1,1 / 0 / 0
,,MSF vs. SPY,Loss (1-2),47.33,23.67,3,12,8,12,916,0,1 / 0 / 0
,,MSF vs. FNC,Loss (0-2),19.96,9.98,2,2,4,2,498,0,0 / 0 / 0
,,MSF vs. G2,Loss (0-2),25.52,12.76,2,3,5,11,552,0,0 / 0 / 0
,,MSF vs. NIP,Win (2-1),24.19,12.1,3,7,4,19,906,0,0 / 0 / 0
Amazing,Jungler,Mysterious Monkeys,,304.18,19.01,18,27,51,107,"2,597",3,0 / 0 / 0
,,MM vs. FNC,Loss (0-2),56.06,28.03,2,6,8,11,353,0,0 / 0 / 0
,,MM vs. NIP,Win (2-0),39.14,19.57,2,7,4,16,314,0,0 / 0 / 0
,,MM vs. G2,Loss (0-2),17.36,8.68,2,3,7,8,286,0,0 / 0 / 0
,,MM vs. ROC,Win (2-1),88.1,44.05,3,2,8,27,417,2,0 / 0 / 0
,,MM vs. MSF,Loss (0-2),33.72,16.86,2,1,8,11,236,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),9.37,4.69,2,1,3,4,287,0,0 / 0 / 0
,,MM vs. UOL,Loss (1-2),46.73,23.37,3,7,9,26,419,1,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),13.7,6.85,2,0,4,4,285,0,0 / 0 / 0
CozQ,Mid,Mysterious Monkeys,,365.78,15.24,26,60,103,87,"7,861",0,1 / 0 / 0
,,MM vs. H2K,Loss (0-2),17.64,8.82,2,1,9,4,532,0,0 / 0 / 0
,,MM vs. UOL,Loss (0-2),25.23,12.62,2,5,10,10,523,0,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),15.99,8,2,2,8,7,549,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),17.04,8.52,2,1,5,2,602,0,0 / 0 / 0
,,MM vs. FNC,Loss (0-2),50.04,25.02,2,3,12,12,702,0,0 / 0 / 0
,,MM vs. NIP,Win (2-0),41.36,20.68,2,11,2,9,686,0,0 / 0 / 0
,,MM vs. G2,Loss (0-2),14.44,7.22,2,2,9,6,594,0,0 / 0 / 0
,,MM vs. ROC,Win (2-1),93.44,46.72,3,16,9,13,"1,148",0,1 / 0 / 0
,,MM vs. MSF,Loss (0-2),32.32,16.16,2,5,11,4,566,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),9.1,4.55,2,2,4,1,560,0,0 / 0 / 0
,,MM vs. UOL,Loss (1-2),39.8,19.9,3,11,13,17,880,0,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),9.38,4.69,2,1,11,2,519,0,0 / 0 / 0
Dreams,Support,Mysterious Monkeys,,287.8,11.99,26,16,102,146,694,3,0 / 0 / 0
,,MM vs. H2K,Loss (0-2),21.4,10.7,2,1,8,8,70,0,0 / 0 / 0
,,MM vs. UOL,Loss (0-2),20.94,10.47,2,2,9,14,44,0,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),10.07,5.04,2,2,10,7,57,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),15.8,7.9,2,1,4,5,40,0,0 / 0 / 0
,,MM vs. FNC,Loss (0-2),51.8,25.9,2,1,8,17,40,1,0 / 0 / 0
,,MM vs. NIP,Win (2-0),34.52,17.26,2,1,6,22,52,1,0 / 0 / 0
,,MM vs. G2,Loss (0-2),6.98,3.49,2,1,9,6,48,0,0 / 0 / 0
,,MM vs. ROC,Win (2-1),47.58,23.79,3,1,13,22,95,0,0 / 0 / 0
,,MM vs. MSF,Loss (0-2),26.18,13.09,2,1,12,11,59,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),8.19,4.1,2,1,7,6,69,0,0 / 0 / 0
,,MM vs. UOL,Loss (1-2),34.86,17.43,3,4,12,24,46,1,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),9.48,4.74,2,0,4,4,74,0,0 / 0 / 0
Inition,Jungler,Mysterious Monkeys,,0,0,0,0,0,0,0,0,0 / 0 / 0
Jisu,Top,Mysterious Monkeys,,76.6,9.58,8,15,45,19,"1,898",0,0 / 0 / 0
,,MM vs. H2K,Loss (0-2),28.74,14.37,2,4,9,4,487,0,0 / 0 / 0
,,MM vs. UOL,Loss (0-2),19.87,9.94,2,8,14,4,487,0,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),13.49,6.75,2,1,13,9,449,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),14.5,7.25,2,2,9,2,475,0,0 / 0 / 0
,,MM vs. FNC,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,MM vs. NIP,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,MM vs. G2,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
Kikis,Top,Mysterious Monkeys,,287.29,17.96,18,40,49,77,"5,330",1,0 / 0 / 0
,,MM vs. FNC,Loss (0-2),48.26,24.13,2,4,11,10,663,0,0 / 0 / 0
,,MM vs. NIP,Win (2-0),31.95,15.98,2,3,3,14,645,0,0 / 0 / 0
,,MM vs. G2,Loss (0-2),21.01,10.51,2,4,7,7,601,0,0 / 0 / 0
,,MM vs. ROC,Win (2-1),73.02,36.51,3,11,10,15,"1,040",0,0 / 0 / 0
,,MM vs. MSF,Loss (0-2),30.64,15.32,2,4,5,3,532,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),12.96,6.48,2,0,3,6,546,0,0 / 0 / 0
,,MM vs. UOL,Loss (1-2),45.17,22.59,3,12,7,19,789,1,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),24.28,12.14,2,2,3,3,514,0,0 / 0 / 0
Kitty,AD Carry,Mysterious Monkeys,,0,0,0,0,0,0,0,0,0 / 0 / 0
Lamabear,Jungler,Mysterious Monkeys,,110.51,13.81,8,15,18,31,"1,007",0,0 / 0 / 0
,,MM vs. H2K,Loss (0-2),37.2,18.6,2,3,4,8,260,0,0 / 0 / 0
,,MM vs. UOL,Loss (0-2),20.17,10.09,2,4,8,9,267,0,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),24.46,12.23,2,5,3,9,246,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),28.68,14.34,2,3,3,5,234,0,0 / 0 / 0
,,MM vs. FNC,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,MM vs. NIP,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,MM vs. G2,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
Phones,Top,Mysterious Monkeys,,0,0,0,0,0,0,0,0,0 / 0 / 0
Yuuki60,AD Carry,Mysterious Monkeys,,446.13,18.59,26,68,68,90,"8,096",0,1 / 0 / 0
,,MM vs. H2K,Loss (0-2),37.8,18.9,2,5,3,3,590,0,0 / 0 / 0
,,MM vs. UOL,Loss (0-2),29.3,14.65,2,4,7,13,530,0,0 / 0 / 0
,,MM vs. SPY,Loss (0-2),17.93,8.97,2,5,6,4,493,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),17.76,8.88,2,1,5,2,638,0,0 / 0 / 0
,,MM vs. FNC,Loss (0-2),73.04,36.52,2,10,6,8,752,0,0 / 0 / 0
,,MM vs. NIP,Win (2-0),35.79,17.9,2,7,3,11,679,0,0 / 0 / 0
,,MM vs. G2,Loss (0-2),22.44,11.22,2,5,5,5,744,0,0 / 0 / 0
,,MM vs. ROC,Win (2-1),92.68,46.34,3,9,7,20,"1,109",0,0 / 0 / 0
,,MM vs. MSF,Loss (0-2),39.06,19.53,2,7,11,4,503,0,0 / 0 / 0
,,MM vs. VIT,Loss (0-2),15.46,7.73,2,3,2,3,596,0,0 / 0 / 0
,,MM vs. UOL,Loss (1-2),43.47,21.74,3,9,7,16,842,0,1 / 0 / 0
,,MM vs. SPY,Loss (0-2),21.4,10.7,2,3,6,1,620,0,0 / 0 / 0
HeaQ,AD Carry,Ninjas in Pyjamas,,463.72,19.32,27,60,65,111,"7,692",2,2 / 0 / 0
,,NIP vs. FNC,Loss (0-2),62.4,31.2,2,5,6,12,620,0,0 / 0 / 0
